player_id,birth_date,espn_id
00-0004200,1976-12-08,
00-0004229,1973-07-05,
00-0004230,1967-10-30,
00-0004293,1972-03-13,
00-0004294,1971-02-02,
00-0004304,1974-10-24,
00-0004386,1973-05-19,
00-0004463,1976-03-15,
00-0004524,1970-06-29,
00-0004541,1975-02-02,1966
00-0004574,1972-07-15,
00-0004634,1972-06-10,
00-0004640,1975-01-05,
00-0004673,1975-07-13,
00-0004694,1975-06-23,
00-0004705,1965-04-13,
00-0004780,1977-04-07,
00-0004824,1972-02-03,
00-0004871,1971-12-20,
00-0004888,1970-10-26,
00-0004915,1973-01-07,
00-0004916,1976-06-15,
00-0004972,1967-04-16,
00-0005060,1970-06-07,
00-0005091,1976-06-05,
00-0005092,1973-02-26,
00-0005101,1971-09-22,
00-0005106,1969-10-10,
00-0005110,1975-01-14,
00-0005180,1971-12-29,
00-0005231,1976-01-31,
00-0005324,1973-09-14,
00-0005363,1962-10-23,
00-0005379,1970-10-10,
00-0005562,1972-05-27,
00-0005589,1971-07-31,
00-0005600,1967-05-19,
00-0005616,1962-09-28,
00-0005620,1977-03-04,
00-0005668,1971-08-20,
00-0005720,1971-11-20,
00-0005741,1965-12-20,
00-0005755,1970-02-24,
00-0005779,1972-02-13,
00-0005794,1966-03-28,
00-0005816,1975-05-18,
00-0005883,1973-09-24,
00-0005885,1967-12-08,
00-0005902,1975-11-16,
00-0005903,1974-07-04,
00-0006043,1974-07-23,
00-0006047,1967-08-12,
00-0006100,1974-07-04,
00-0006101,1976-02-27,1231
00-0006133,1972-10-10,
00-0006155,1978-09-09,
00-0006210,1969-02-14,
00-0006212,1968-11-01,
00-0006299,1973-12-23,
00-0006300,1970-08-13,
00-0006305,1977-02-16,
00-0006322,1975-06-28,
00-0006324,1967-06-22,
00-0006331,1976-01-15,
00-0006359,1973-11-25,
00-0006380,1972-06-01,
00-0006410,1976-07-02,
00-0006423,1975-03-18,
00-0006431,1976-06-14,
00-0006456,1967-11-17,
00-0006627,1977-06-03,
00-0006666,1974-11-16,
00-0006803,1976-01-23,
00-0006804,1974-06-06,
00-0006808,1963-12-23,
